Drug A,Drug B,Cell Line Name,Score
Lapatinib,Sorafenib,NCI-H460,1.41805545618482
paclitaxel,Lapatinib,UWB1289,1.1615369027166365
metformin,Sunitinib,UWB1289,-8.207132148775708
paclitaxel,geldanamycin,UWB1289,0.2729453578388601
Erlotinib,Sorafenib,A375,3.7921116228684086
vinblastine,Sorafenib,LOVO,-1.6005087696864486
Sunitinib,Lapatinib,HCT116,-3.195242757261453
vinblastine,Dasatinib,NCIH1650,3.42669038506664
Vorinostat,geldanamycin,HCT116,-4.01456885639382
dexamethasone,Vorinostat,HT29,-35.4604736838065
Vorinostat,Lapatinib,NCI-H460,-10.398648228661925
paclitaxel,Lapatinib,A2058,-15.2234416939723
dexamethasone,Dasatinib,OV90,-5.5623675139736175
Vorinostat,Erlotinib,A2780,9.625121597198186
dexamethasone,geldanamycin,UACC62,-40.3645652505015
vinblastine,Dasatinib,A427,0.4664503305112299
dexamethasone,Vorinostat,LOVO,-3.8022266666193874
dexamethasone,geldanamycin,T-47D,-3.2855896341823474
Vorinostat,Sorafenib,RKO,-0.7012610501602399
Sunitinib,Erlotinib,UACC62,11.555346181601609
metformin,Erlotinib,SKMES1,-18.5891767455387
metformin,Sunitinib,A427,-37.13962469223695
Erlotinib,geldanamycin,HCT116,7.06923762363823
Lapatinib,Sorafenib,OCUBM,7.5482379424635875
Vorinostat,Lapatinib,OCUBM,7.859716520666763
Erlotinib,geldanamycin,OVCAR3,-1.03656181464744
Erlotinib,geldanamycin,NCIH1650,7.206977941743588
Vorinostat,Sunitinib,NCI-H460,3.67041582610247
metformin,Vorinostat,HCT116,-62.9031214125763
Erlotinib,Sorafenib,CAOV3,6.1026124307435
Lapatinib,Dasatinib,RPMI7951,-3.724573545179619
Sunitinib,Lapatinib,OVCAR3,9.1356503291117
vinblastine,geldanamycin,NCIH23,-4.65691689928222
metformin,Sunitinib,PA1,-61.4386715672369
vinblastine,Vorinostat,SK-OV-3,5.053393098685065
paclitaxel,Vorinostat,HT144,5.05355462238675
metformin,Dasatinib,A2058,-6.2026319104393295
Vorinostat,Sorafenib,OV90,-0.71117494174041
Sunitinib,geldanamycin,A427,5.87221574658101
paclitaxel,Vorinostat,A2780,2.046344769010002
vinblastine,Dasatinib,SKMES1,-5.822632503482525
paclitaxel,Sorafenib,VCAP,-1.6610011043127195
metformin,geldanamycin,A375,-49.062306315025
Lapatinib,Sorafenib,MDAMB436,-8.393586343504198
dexamethasone,Dasatinib,A427,-6.68253431604433
Sunitinib,geldanamycin,SK-OV-3,2.78743688363977
paclitaxel,Erlotinib,NCIH520,-6.708306328674888
paclitaxel,Sunitinib,UWB1289,-2.095241650043551
metformin,Lapatinib,NCIH520,-8.36164856265281
dexamethasone,Lapatinib,PA1,4.72846919446815
Vorinostat,geldanamycin,NCIH520,-4.764629840066975
metformin,Dasatinib,NCI-H460,-0.670930828719279
paclitaxel,Dasatinib,LOVO,7.276768036701751
Sunitinib,Lapatinib,RPMI7951,11.616605850275496
Vorinostat,Sorafenib,SKMES1,-0.1428452494230792
Lapatinib,Sorafenib,LOVO,-4.92782811871599
Sunitinib,Erlotinib,A2058,8.747205755218493
metformin,Dasatinib,UACC62,-13.4460672849668
paclitaxel,Vorinostat,HT29,4.768047800449637
dexamethasone,Lapatinib,NCIH520,4.001938538520379
dexamethasone,Sorafenib,NCIH1650,-14.409506408843407
dexamethasone,Sorafenib,A375,-3.8453528225106623
vinblastine,Lapatinib,SK-OV-3,3.37898618824583
Lapatinib,Sorafenib,NCIH1650,8.829561804598438
vinblastine,Dasatinib,UACC62,-1.4680391508473674
Sunitinib,Dasatinib,NCIH23,15.8859560938761
metformin,Dasatinib,UWB1289,-8.2299173561342
vinblastine,Sorafenib,PA1,-1.338045882914232
Vorinostat,Erlotinib,A427,1.7706121017107803
metformin,Dasatinib,CAOV3,-9.979741434164584
Vorinostat,Erlotinib,NCIH23,-2.77042962989298
vinblastine,Sunitinib,CAOV3,3.22816419080692
paclitaxel,Lapatinib,A427,-0.6715208179901364
Sunitinib,Lapatinib,OCUBM,18.9715733525152
Erlotinib,Dasatinib,SW837,12.283123760680592
Vorinostat,Sorafenib,SW837,-7.910003358009165
geldanamycin,Sorafenib,HT29,-1.995826789875676
dexamethasone,geldanamycin,PA1,3.126169348435272
dexamethasone,geldanamycin,RPMI7951,-34.3143130117107
dexamethasone,Vorinostat,MDAMB436,-15.4752611754195
Lapatinib,Sorafenib,VCAP,7.92708077877978
Vorinostat,Erlotinib,NCI-H460,1.1496085756031087
dexamethasone,Dasatinib,UWB1289,-9.176001953270983
Vorinostat,geldanamycin,LOVO,-6.055427015859325
paclitaxel,Vorinostat,OCUBM,5.50221601830175
Vorinostat,Sunitinib,VCAP,-5.2815921348029296
metformin,Sunitinib,OVCAR3,-1.6020246929696491
metformin,Vorinostat,SKMEL30,-46.6686841099013
dexamethasone,Sunitinib,RKO,-27.6920167541674
Vorinostat,geldanamycin,OV90,0.9434331950199416
Sunitinib,geldanamycin,OCUBM,6.80321923705408
dexamethasone,geldanamycin,SKMES1,-12.2774867069717
Erlotinib,geldanamycin,NCIH23,-1.5082203021212124
Erlotinib,Sorafenib,NCIH2122,-7.815562497274902
Lapatinib,Sorafenib,SW837,3.42951329804928
Vorinostat,Dasatinib,SKMES1,-3.454798154796729
Sunitinib,Lapatinib,NCIH23,-0.3550158381598589
Sunitinib,Dasatinib,A2058,18.1939100849816
vinblastine,Sunitinib,SKMEL30,-3.119647295186995
vinblastine,Sunitinib,NCI-H460,2.44728958086436
Erlotinib,geldanamycin,MDAMB436,3.776985072333982
dexamethasone,Vorinostat,HT144,-45.30258920076982
Sunitinib,geldanamycin,HCT116,9.179556151687803
Dasatinib,geldanamycin,OCUBM,6.55729051148795
paclitaxel,Sorafenib,HT144,4.4516036428765
Vorinostat,Dasatinib,A2780,-6.31868596379813
vinblastine,Sunitinib,T-47D,-70.8116033690518
Sunitinib,Lapatinib,SKMEL30,6.429854346358795
Vorinostat,Erlotinib,OVCAR3,3.54836143321337
metformin,Dasatinib,SW-620,9.04709717330502
Lapatinib,Erlotinib,RKO,-6.32558602127377
Erlotinib,Sorafenib,PA1,-0.7762273913233743
vinblastine,Lapatinib,NCIH2122,-2.1691769605730515
Vorinostat,Sorafenib,NCIH2122,-8.251107402184557
dexamethasone,Sunitinib,A375,-12.7137936794919
Erlotinib,Sorafenib,HT144,-0.6089836493556324
Sunitinib,Sorafenib,OVCAR3,-10.6557437737239
vinblastine,Vorinostat,NCIH520,-3.15887949932979
vinblastine,Vorinostat,OV90,-2.149900469098629
vinblastine,geldanamycin,NCIH1650,-3.43040335892423
dexamethasone,Vorinostat,A427,-37.1716279374795
metformin,Lapatinib,OVCAR3,-14.6157572128631
Vorinostat,Erlotinib,RPMI7951,5.954690473588823
Lapatinib,Sorafenib,T-47D,10.982614675109394
Erlotinib,geldanamycin,SW837,3.00680128293027
dexamethasone,Lapatinib,OVCAR3,-4.214346026907057
dexamethasone,Vorinostat,NCIH520,-9.633163292669298
Erlotinib,Dasatinib,RPMI7951,2.85060083445348
dexamethasone,geldanamycin,SKMEL30,-12.500029270357295
Erlotinib,Dasatinib,HCT116,-5.77665564868809
paclitaxel,geldanamycin,NCIH2122,-81.52648016021857
metformin,Lapatinib,A2780,-22.3071231538392
Lapatinib,Sorafenib,UWB1289,3.88109013796494
Sunitinib,Sorafenib,A427,3.562549470771905
dexamethasone,Sorafenib,UWB1289,-6.879472048396067
dexamethasone,Dasatinib,NCIH23,-7.18713065449027
Vorinostat,Lapatinib,SKMES1,3.61441892535489
vinblastine,Lapatinib,A2058,-10.901275449743116
metformin,Sunitinib,HT29,-18.0018409950579
Lapatinib,geldanamycin,MDAMB436,4.4105627388370605
dexamethasone,Erlotinib,OV90,-3.5390830989045075
geldanamycin,Sorafenib,A375,4.123908949931413
Lapatinib,Erlotinib,NCI-H460,-1.6552655274048038
Erlotinib,Sorafenib,NCIH23,-1.93656353174353
metformin,Sunitinib,NCI-H460,-3.681083449701528
vinblastine,Dasatinib,SW837,5.29419053806362
Lapatinib,geldanamycin,HCT116,-4.739766082030863
dexamethasone,Erlotinib,HT144,-35.5448186771701
Erlotinib,geldanamycin,SK-OV-3,2.77922195660905
Dasatinib,Sorafenib,NCIH520,10.16232173056559
metformin,Dasatinib,NCIH2122,-34.48768519828235
Sunitinib,Erlotinib,VCAP,7.960789166364423
vinblastine,Lapatinib,VCAP,2.334382802629
Vorinostat,Dasatinib,HCT116,-20.3623076046531
vinblastine,Lapatinib,A375,-23.3725501337939
Erlotinib,geldanamycin,RPMI7951,-2.54688332955635
paclitaxel,geldanamycin,HT144,3.7347243087796
vinblastine,Sorafenib,SKMEL30,5.99108205682079
paclitaxel,geldanamycin,MDAMB436,3.42848617073407
Sunitinib,Erlotinib,NCIH23,6.09033976794457
paclitaxel,Dasatinib,PA1,2.4851768276660025
vinblastine,geldanamycin,SK-OV-3,1.775572054007981
Lapatinib,Erlotinib,A2780,7.809600001042748
metformin,Erlotinib,NCI-H460,-14.1325019191809
Vorinostat,Erlotinib,SKMES1,6.63109301847755
vinblastine,Lapatinib,NCIH23,-9.09730633851708
vinblastine,Dasatinib,HT144,-39.7169735486916
Erlotinib,Dasatinib,NCIH520,4.92186081619874
paclitaxel,Erlotinib,NCI-H460,10.349523074958825
Lapatinib,Sorafenib,A375,5.029017096161708
Vorinostat,Sunitinib,A2058,1.289294757415069
dexamethasone,Dasatinib,SK-OV-3,-2.367312137177082
Sunitinib,Lapatinib,NCIH2122,17.2594267615487
Vorinostat,Lapatinib,LOVO,-0.3284521577656807
paclitaxel,Sunitinib,PA1,0.6962467393230812
Vorinostat,Sorafenib,HT144,-4.665207913971671
Erlotinib,Dasatinib,NCIH2122,-21.5871320482388
Lapatinib,Sorafenib,NCIH23,-1.6422791314174887
Vorinostat,Erlotinib,T-47D,5.635020609606415
paclitaxel,Dasatinib,MDAMB436,1.2555345380058751
Vorinostat,Sorafenib,A2780,-2.377061578670744
metformin,Vorinostat,MDAMB436,-42.6579269422049
metformin,Vorinostat,HT144,-23.6042929930625
Vorinostat,Sorafenib,OCUBM,-1.9263965715605047
Vorinostat,Dasatinib,T-47D,5.321680837772678
dexamethasone,Sunitinib,UACC62,-15.020937907067507
paclitaxel,Lapatinib,HT144,6.46185690649625
metformin,Erlotinib,HT29,-17.7883076547542
vinblastine,Dasatinib,SW-620,-40.7258600860177
paclitaxel,Lapatinib,UACC62,3.7078671714499096
paclitaxel,Sunitinib,NCI-H460,9.58062385928767
paclitaxel,Dasatinib,HT144,-40.2101205720394
Dasatinib,geldanamycin,PA1,2.667044757168528
Lapatinib,Erlotinib,CAOV3,4.54734483862441
Sunitinib,geldanamycin,OV90,-25.0659802428987
Lapatinib,geldanamycin,SKMEL30,3.6035536346157695
Lapatinib,Dasatinib,SKMES1,12.566471603210276
Vorinostat,Erlotinib,MDAMB436,4.25311060075082
metformin,Sunitinib,SW837,-71.7765711158932
Sunitinib,Dasatinib,OVCAR3,-2.23616712442702
vinblastine,Lapatinib,PA1,0.1652887870268324
paclitaxel,Dasatinib,HT29,6.020551076354931
vinblastine,geldanamycin,SKMEL30,-13.5091075877696
metformin,Lapatinib,PA1,-74.9399761386801
paclitaxel,Vorinostat,RKO,3.987299411465438
geldanamycin,Sorafenib,SW-620,-0.8984319813221007
paclitaxel,Lapatinib,OV90,0.7709161631446207
paclitaxel,Sunitinib,NCIH520,3.3696784995100426
dexamethasone,Sunitinib,CAOV3,4.052279150357491
Lapatinib,Dasatinib,NCIH2122,-17.190033530139498
metformin,Sunitinib,SW-620,-43.929359067237
dexamethasone,Dasatinib,SW837,-12.909633143366396
paclitaxel,Erlotinib,HCT116,-4.639593570653838
Lapatinib,geldanamycin,PA1,4.304204520484877
Sunitinib,Lapatinib,A427,12.0378145652987
Erlotinib,Sorafenib,A2058,-2.25262466719878
metformin,Lapatinib,HT144,-36.8822022827233
Sunitinib,Erlotinib,PA1,8.656689402528613
vinblastine,Lapatinib,A2780,-11.299328727708405
Vorinostat,Lapatinib,RPMI7951,-0.3170472839931941
paclitaxel,geldanamycin,SKMES1,2.858782897786812
dexamethasone,Vorinostat,A375,-35.3994683825842
dexamethasone,Dasatinib,NCI-H460,-5.159519294761907
metformin,geldanamycin,A427,-4.752960817423343
paclitaxel,Vorinostat,SW837,4.071661498679735
dexamethasone,Erlotinib,NCIH1650,4.7680640763497
paclitaxel,Vorinostat,MDAMB436,2.28163515100639
Lapatinib,geldanamycin,UWB1289,-4.081394009803599
paclitaxel,Lapatinib,A375,-11.9965988914421
Erlotinib,Sorafenib,NCIH1650,14.3436638764016
metformin,geldanamycin,SKMEL30,-27.8178569354009
Vorinostat,Erlotinib,SW-620,-5.19085420781142
dexamethasone,geldanamycin,HCT116,-15.5157954828953
geldanamycin,Sorafenib,LOVO,-10.288292260688207
metformin,Erlotinib,SK-OV-3,-60.49569009623433
dexamethasone,Lapatinib,NCIH2122,8.19307228691883
dexamethasone,geldanamycin,LOVO,-10.249148139079496
metformin,Sorafenib,RKO,-44.7886924625105
metformin,geldanamycin,NCIH520,-17.2817979072755
dexamethasone,Vorinostat,SKMES1,-8.237956686764985
Lapatinib,geldanamycin,OV90,2.578081311550471
paclitaxel,Lapatinib,HCT116,4.780848076735348
paclitaxel,Lapatinib,NCIH1650,3.12612254618191
vinblastine,geldanamycin,PA1,-12.41068356063
Vorinostat,Sorafenib,HCT116,-1.073248118887358
metformin,Sunitinib,HCT116,-58.24412469223692
dexamethasone,Erlotinib,NCI-H460,-13.950148061363093
paclitaxel,geldanamycin,OV90,4.219145585451182
metformin,geldanamycin,NCIH1650,-38.6438610292767
Sunitinib,Sorafenib,RKO,-7.378812419643663
vinblastine,Dasatinib,NCIH520,-7.042636248773623
Vorinostat,Erlotinib,NCIH520,8.2142562177934
dexamethasone,Sorafenib,HT144,-17.4841411730512
metformin,Sorafenib,A2780,-25.2381267145584
vinblastine,Sorafenib,A427,4.841793570156368
Sunitinib,Lapatinib,HT144,17.1612744381531
vinblastine,Sorafenib,UACC62,5.265272900492549
vinblastine,Dasatinib,A2058,-8.677497573270493
paclitaxel,Sunitinib,NCIH2122,-17.0314498829154
Lapatinib,Erlotinib,UWB1289,5.162821279449693
Erlotinib,geldanamycin,OV90,0.4423212163888063
Vorinostat,Dasatinib,OV90,1.0590749185315824
geldanamycin,Sorafenib,T-47D,9.0758909366509
paclitaxel,Dasatinib,SK-OV-3,8.754663680824095
dexamethasone,Erlotinib,A2058,-41.1395198834054
Dasatinib,Sorafenib,T-47D,5.893700156574014
Vorinostat,geldanamycin,CAOV3,-3.34531377329845
Vorinostat,Lapatinib,NCIH520,-1.2293411329062325
paclitaxel,Vorinostat,CAOV3,-13.861300672159
Lapatinib,Erlotinib,A427,2.8513084033656
vinblastine,Sunitinib,A2058,2.63157412115867
Lapatinib,Sorafenib,PA1,2.4659746492236927
vinblastine,Sunitinib,A2780,6.430237727930085
Sunitinib,geldanamycin,CAOV3,7.184930267876617
geldanamycin,Sorafenib,SKMEL30,-1.207429910073891
vinblastine,Dasatinib,CAOV3,0.6771989561182002
Vorinostat,Erlotinib,UACC62,8.143116180793372
dexamethasone,Lapatinib,NCIH23,-15.4814292943448
Erlotinib,Sorafenib,UWB1289,8.474782023793379
metformin,Vorinostat,NCI-H460,-10.8237586662752
Dasatinib,geldanamycin,SK-OV-3,3.181253849239128
metformin,geldanamycin,PA1,-89.04756219223692
vinblastine,Vorinostat,HCT116,-4.96580172718434
Sunitinib,Dasatinib,UWB1289,1.5259403537211615
metformin,Sorafenib,MDAMB436,-52.7336020518746
Sunitinib,Dasatinib,RKO,19.33685959748449
Dasatinib,Sorafenib,SW-620,11.923948375295712
metformin,Vorinostat,LOVO,-35.0272315856836
paclitaxel,Erlotinib,OCUBM,2.8274240704709
metformin,Erlotinib,HT144,-33.1832620874725
Lapatinib,Sorafenib,OV90,6.457932781589695
metformin,Lapatinib,A375,-1.67197513843126
paclitaxel,Vorinostat,SK-OV-3,5.978124919049687
Erlotinib,geldanamycin,RKO,-5.36204355968609
paclitaxel,geldanamycin,HT29,-2.924593214648255
Vorinostat,Lapatinib,OV90,2.79124989437018
Erlotinib,Dasatinib,A427,16.899113604615202
paclitaxel,Sunitinib,SKMES1,0.555665600488549
Sunitinib,Lapatinib,SK-OV-3,16.1850033157246
vinblastine,Vorinostat,OVCAR3,-1.289264920121349
dexamethasone,Sunitinib,A2058,-15.7834934865799
metformin,Lapatinib,NCIH23,-2.8472026300298463
Vorinostat,Sorafenib,A375,2.86709961553106
paclitaxel,Vorinostat,SKMES1,-1.7943154401891548
paclitaxel,Sorafenib,A375,6.07843040491799
paclitaxel,Vorinostat,OVCAR3,3.1988276731025875
Lapatinib,Dasatinib,SW837,20.7191486697607
Dasatinib,Sorafenib,OV90,8.678125432705007
Lapatinib,geldanamycin,A375,-6.135426654744688
Vorinostat,Dasatinib,CAOV3,5.58846482112586
dexamethasone,Dasatinib,HCT116,-20.5869014386951
Lapatinib,Dasatinib,A375,-15.991582533821994
paclitaxel,Sunitinib,NCIH23,-2.941164138388841
metformin,Sunitinib,HT144,-14.57002364123529
Sunitinib,Erlotinib,A375,6.6154810826822
metformin,Vorinostat,T-47D,-21.4141717786538
vinblastine,geldanamycin,RPMI7951,0.4076170529080399
Erlotinib,geldanamycin,SW-620,-3.8590388668775
Sunitinib,geldanamycin,NCI-H460,5.61896917638109
Vorinostat,Dasatinib,NCIH23,-0.5734820606807138
Erlotinib,geldanamycin,A2058,4.398742241377427
Erlotinib,Dasatinib,MDAMB436,3.59745169898486
metformin,Sunitinib,UACC62,-56.2560888739038
Vorinostat,Lapatinib,VCAP,3.27144637329635
Dasatinib,geldanamycin,OVCAR3,0.5211206139658471
paclitaxel,Vorinostat,A375,-1.9802660997523944
Lapatinib,Sorafenib,SKMES1,-2.4599041427842496
paclitaxel,Sorafenib,UACC62,-0.89184437235696
Vorinostat,Sorafenib,UWB1289,4.39789099231211
paclitaxel,Erlotinib,UWB1289,1.99934019108803
Lapatinib,geldanamycin,NCIH2122,4.30511943579503
metformin,Dasatinib,MDAMB436,1.9806048133258944
paclitaxel,Dasatinib,NCIH2122,-44.9949251983702
Lapatinib,Sorafenib,SK-OV-3,13.9953943577381
Dasatinib,geldanamycin,A2780,-3.15562863494722
Lapatinib,geldanamycin,SK-OV-3,3.812227003524945
dexamethasone,Sorafenib,HT29,-16.600339428286603
Erlotinib,geldanamycin,CAOV3,3.320229681965675
Dasatinib,Sorafenib,RKO,4.179707781567577
dexamethasone,geldanamycin,NCIH520,-35.2906329121599
metformin,Sunitinib,A2058,-30.89708550466269
paclitaxel,Erlotinib,NCIH23,-2.7468186065138984
geldanamycin,Sorafenib,UWB1289,-1.5699354762224491
geldanamycin,Sorafenib,OVCAR3,-16.475900892606802
Vorinostat,Sunitinib,OVCAR3,-13.790764753514
Vorinostat,Sorafenib,RPMI7951,-10.539071528779305
Erlotinib,Sorafenib,OVCAR3,-6.066411004621831
metformin,geldanamycin,CAOV3,-9.619042312244815
metformin,Erlotinib,VCAP,-12.208208404490907
metformin,Vorinostat,UACC62,-24.577379709126298
Vorinostat,Sorafenib,PA1,-4.062121175440552
metformin,Erlotinib,CAOV3,-50.4820483838523
metformin,Dasatinib,T-47D,-4.534682244798708
dexamethasone,Erlotinib,UWB1289,-15.559462368784592
paclitaxel,Erlotinib,SW837,-1.657597602265355
dexamethasone,Sunitinib,OCUBM,-12.533050119535002
Erlotinib,Dasatinib,NCIH23,6.99756701325662
Vorinostat,geldanamycin,UACC62,-6.745372906074374
Vorinostat,Sunitinib,A375,-2.3538192484503564
vinblastine,Sorafenib,NCIH2122,2.0008593011464906
paclitaxel,Lapatinib,NCIH2122,-2.289513933263135
paclitaxel,Erlotinib,HT29,4.25403099118957
Erlotinib,Sorafenib,LOVO,-4.0896099478500325
Erlotinib,geldanamycin,A2780,3.3452637215970498
metformin,Sorafenib,NCI-H460,-21.61387508166409
Lapatinib,Dasatinib,A2058,14.9823899147147
metformin,Erlotinib,UACC62,-30.7261055182573
Erlotinib,Dasatinib,HT144,-16.8307740899425
paclitaxel,Vorinostat,LOVO,2.1560784090827942
vinblastine,Vorinostat,MDAMB436,0.1461877509898399
Lapatinib,geldanamycin,SKMES1,4.28301459624688
Erlotinib,Sorafenib,NCI-H460,1.51502173443586
dexamethasone,Erlotinib,SKMEL30,-31.515616413872173
Dasatinib,geldanamycin,UWB1289,-5.94174589421185
Vorinostat,Lapatinib,NCIH2122,3.77256113899207
paclitaxel,Dasatinib,OCUBM,-1.4412632820262703
metformin,Vorinostat,OVCAR3,-51.6773231694491
dexamethasone,Sorafenib,HCT116,-15.902118442879
dexamethasone,geldanamycin,NCI-H460,-21.0606958753072
vinblastine,Dasatinib,A375,-1.876637029070265
vinblastine,Vorinostat,T-47D,6.097122298913325
geldanamycin,Sorafenib,A427,1.350733135180331
Sunitinib,Lapatinib,A2780,8.453421074249384
metformin,Lapatinib,UACC62,-69.1366966634013
metformin,geldanamycin,VCAP,-60.92137282626391
Vorinostat,Dasatinib,LOVO,-0.3136273830120112
Dasatinib,geldanamycin,NCIH23,-0.6435038581465955
Vorinostat,Sorafenib,NCI-H460,-0.0084306638066775
vinblastine,Sorafenib,NCIH520,2.603164662477901
metformin,Vorinostat,SW-620,-68.1959205924323
vinblastine,Lapatinib,NCI-H460,-2.491707941339629
Lapatinib,Dasatinib,UWB1289,7.42840635595139
metformin,Erlotinib,SW837,-35.1782981083837
Vorinostat,Dasatinib,HT29,0.9601515747159592
metformin,Lapatinib,LOVO,-8.237627320974727
metformin,Dasatinib,SW837,-17.5801214502402
paclitaxel,Lapatinib,NCIH520,-10.415057364934407
Vorinostat,Dasatinib,NCI-H460,-4.361976736345532
geldanamycin,Sorafenib,NCIH520,2.283405953189745
dexamethasone,Dasatinib,PA1,-6.262949496708321
paclitaxel,Sorafenib,NCIH1650,-5.00028834575103
Vorinostat,Sunitinib,T-47D,-14.434457477598505
Dasatinib,Sorafenib,RPMI7951,-2.260381023139061
metformin,Sunitinib,NCIH23,-21.5531296050118
paclitaxel,Sorafenib,LOVO,-6.79658968512302
